"time","fault","indicator"
5400,0,1
10200,0,1
24060,0,1
8460,0,1
33900,0,1
16500,0,1
6300,0,1
87540,0,1
5400,0,1
51780,0,1
1140,0,1
6300,0,1
2400,0,1
16260,0,1
109140,0,1
94380,0,1
5400,0,1
15600,0,1
14400,0,1
30660,0,1
131460,0,1
38700,0,1
273480,0,1
84540,0,1
23160,0,1
175860,0,1
310020,0,1
148920,0,1
79680,0,1
12720,0,1
4920,0,1
70320,0,1
71340,0,1
1200,0,1
219660,0,1
36540,0,1
1680,0,1
44160,0,1
20160,0,1
48300,0,1
210060,0,1
30180,0,1
168000,0,1
173580,0,1
56820,0,1
271440,0,1
139920,0,1
186240,0,1
15900,0,1
185640,0,1
208020,0,1
62340,0,1
40380,0,1
29820,0,1
257334,0,1
480,0,1
108360,0,1
133920,0,1
137160,0,1
18420,0,1
170040,0,1
32640,0,1
10200,0,1
24000,0,1
120480,0,1
352260,0,1
75000,0,1
1380,0,1
163020,0,1
13980,0,1
9120,0,1
29400,0,1
9360,0,1
1200,0,1
3600,0,1
1500,0,1
79800,0,1
75600,0,1
159600,0,1
600,0,1
292080,0,1
140040,0,1
207660,0,1
14640,0,1
1200,0,1
136320,0,1
3000,0,1
39240,0,1
249960,0,1
446460,0,1
99600,0,1
780,0,1
72900,0,1
69960,0,1
108120,0,1
249420,0,1
730560,0,1
506880,0,1
46920,0,1
790260,0,1
841020,0,1
33480,0,1
158640,0,1
548460,0,1
130560,0,1
556380,0,1
16740,0,1
539820,0,1
94980,0,1
13920,0,1
84780,0,1
3780,0,1
233640,0,1
13860,0,1
420,0,1
40920,0,1
4560,0,1
507840,0,1
55740,0,1
82680,0,1
409620,0,1
1167840,0,1
69120,0,1
668700,0,1
160320,0,1
11220,0,1
22380,0,1
219300,0,1
266340,0,1
2100,0,1
157740,0,1
144480,0,1
14040,0,1
34200,0,1
346652,0,1
1080,0,1
9000,0,1
6660,0,1
120,0,1
240,0,1
240,0,1
68700,0,1
1620,0,1
77340,0,1
234540,0,1
900,0,1
960,0,1
1260,0,1
540,0,1
1260,0,1
1560,0,1
600,0,1
22620,0,1
600,0,1
600,0,1
21000,0,1
35880,0,1
59040,0,1
141540,0,1
291720,0,1
512880,0,1
171360,0,1
229740,0,1
170700,0,1
175620,0,1
81660,0,1
23340,0,1
63420,0,1
58020,0,1
2100,0,1
396240,0,1
10020,0,1
132700,0,1
70620,0,1
163080,0,1
348000,0,1
66960,0,1
190260,0,1
123540,0,1
5520,0,1
960,0,1
180900,0,1
423900,0,1
335460,0,1
5220,0,1
559140,0,1
95280,0,1
297360,0,1
23220,0,1
3480,0,1
186240,0,1
101940,0,1
245160,0,1
298020,0,1
406920,0,1
186600,0,1
25440,0,1
35220,0,1
15360,0,1
48600,0,1
46740,0,1
596820,0,1
479760,0,1
84480,0,1
8760,0,1
5100,0,1
73140,0,1
1380,0,1
12300,0,1
540,0,1
55260,0,1
14760,0,1
4200,0,1
13020,0,1
18600,0,1
28020,0,1
360420,0,1
116400,0,1
120780,0,1
1109520,0,1
119520,0,1
99660,0,1
23760,0,1
19800,0,1
155880,0,1
185220,0,1
104880,0,1
47940,0,1
408840,0,1
24180,0,1
34560,0,1
612600,0,1
30420,0,1
52920,0,1
1200,0,1
637860,0,1
35760,0,1
891600,0,1
253140,0,1
288360,0,1
1800,0,1
101280,0,1
105540,0,1
863400,0,1
172440,0,1
70320,0,1
554940,0,1
11700,0,1
432480,0,1
26700,0,1
7560,0,1
28200,0,1
39060,0,1
511380,0,1
315960,0,1
131460,0,1
37260,0,1
750480,0,1
23940,0,1
400080,0,1
180,0,1
240,0,1
480,0,1
262200,0,1
279180,0,1
3960,0,1
43320,0,1
364020,0,1
11820,0,1
447660,0,1
249480,0,1
146040,0,1
26940,0,1
142920,0,1
32100,0,1
78120,0,1
309660,0,1
26640,0,1
209700,0,1
18000,0,1
195000,0,1
2700,0,1
79560,0,1
86460,0,1
80100,0,1
77160,0,1
9000,0,1
5640,0,1
678720,0,1
57120,0,1
18120,0,1
780,0,1
263820,0,1
210600,0,1
2640,0,1
600,0,1
523500,0,1
147420,0,1
199740,0,1
25800,0,1
97740,0,1
1560,0,1
61380,0,1
41520,0,1
70080,0,1
4800,0,1
68040,0,1
15660,0,1
130860,0,1
213660,0,1
73260,0,1
242760,0,1
722940,0,1
423360,0,1
420,0,1
1440,0,1
340860,0,1
128700,0,1
940500,0,1
448980,0,1
21900,0,1
157200,0,1
360,0,1
225600,0,1
10860,0,1
1320,0,1
156540,0,1
3900,0,1
43860,0,1
68340,0,1
13440,0,1
31380,0,1
123120,0,1
39180,0,1
130620,0,1
4860,0,1
9360,0,1
4320,0,1
48780,0,1
4980,0,1
7560,0,1
55500,0,1
30900,0,1
140940,0,1
29160,0,1
21480,0,1
33420,0,1
20700,0,1
50040,0,1
10740,0,1
142020,0,1
79440,0,1
113640,0,1
59400,0,1
78300,0,1
196380,0,1
25980,0,1
5520,0,1
50460,0,1
1800,0,1
2880,0,1
23520,0,1
41520,0,1
71040,0,1
193140,0,1
162180,0,1
245700,0,1
64860,0,1
123900,0,1
57000,0,1
21360,0,1
22140,0,1
26700,0,1
12180,0,1
268260,0,1
181740,0,0
