"time","fault","indicator"
26100,0,1
139680,0,1
300,0,1
409980,0,1
751920,0,1
1579800,0,1
374280,0,1
111600,0,1
113460,0,1
625380,0,1
321920,0,1
240120,0,1
74160,0,1
274560,0,1
225000,0,1
2460,0,1
539340,0,1
243000,0,1
900,0,1
557220,0,1
667440,0,1
319800,0,1
124560,0,1
389520,0,1
1680180,0,1
773220,0,1
1056420,0,1
193740,0,1
521340,0,1
4980,0,1
2065920,0,1
143340,0,1
522660,0,1
572160,0,1
139920,0,1
720,0,1
9900,0,1
1980,0,1
3060,0,1
81900,0,1
960,0,1
140940,0,1
678540,0,1
13140,0,1
1200,0,1
302640,0,1
780,0,1
1354276,0,1
91500,0,1
2760,0,1
231000,0,1
227820,0,1
80700,0,1
1380,0,1
501840,0,1
15660,0,1
1106100,0,1
1200,0,1
363780,0,1
66480,0,1
4380,0,1
16020,0,1
169440,0,1
138560,0,1
720,0,1
2700,0,1
53880,0,1
10980,0,1
1806980,0,1
84900,0,1
361200,0,1
420,0,1
1020,0,1
1156140,0,1
733500,0,1
435540,0,1
507000,0,1
166080,0,1
204300,0,1
232140,0,1
525360,0,1
253620,0,1
70800,0,1
936720,0,1
132480,0,1
74200,0,1
330720,0,1
161580,0,1
13560,0,1
3900,0,1
289620,0,1
13500,0,1
1980,0,1
59940,0,1
7920,0,1
2040,0,1
18300,0,1
1032360,0,1
183660,0,1
1484160,0,1
19140,0,1
554100,0,1
1680,0,1
23400,0,1
517740,0,1
29520,0,1
54660,0,1
37800,0,1
38340,0,1
78540,0,1
534660,0,1
54960,0,1
56580,0,1
195180,0,1
68940,0,1
70380,0,1
401700,0,1
87240,0,1
32520,0,1
40920,0,1
3360,0,1
59880,0,1
119220,0,1
7560,0,1
192840,0,1
20580,0,1
755040,0,1
5940,0,1
393240,0,1
157140,0,1
1134660,0,1
78660,0,1
6360,0,1
358140,0,1
41700,0,1
131700,0,1
100440,0,1
7920,0,1
238620,0,1
142740,0,1
18180,0,1
315780,0,1
73380,0,1
4980,0,1
430560,0,1
48540,0,1
90240,0,1
216840,0,1
72660,0,1
55980,0,1
11040,0,1
504720,0,1
3060,0,1
32520,0,1
59940,0,1
91560,0,1
360,0,1
550380,0,1
637410,0,1
184050,0,1
555600,0,1
56340,0,1
476100,0,1
47430,0,1
1337220,0,1
844290,0,1
1578780,0,1
588720,0,1
195930,0,1
2790,0,1
2520,0,1
1080,0,1
248850,0,1
21690,0,1
347130,0,1
368370,0,1
13680,0,1
424890,0,1
119340,0,1
219600,0,1
12870,0,1
1524330,0,1
361800,0,1
114930,0,1
95760,0,1
240570,0,1
675360,0,1
70440,0,1
1411350,0,1
15210,0,1
1566270,0,1
8010,0,1
1113030,0,0
