"time","fault","indicator"
37320,0,1
31140,0,1
3480,0,1
19260,0,1
21480,0,1
600,0,1
2280,0,1
18840,0,1
77400,0,1
12600,0,1
42840,0,1
2740,0,1
16020,0,1
7200,0,1
120,0,1
31020,0,1
26640,0,1
300,0,1
8640,0,1
780,0,1
7680,0,1
600,0,1
6420,0,1
12900,0,1
360,0,1
25800,0,1
600,0,1
15720,0,1
19380,0,1
8280,0,1
15000,0,1
10860,0,1
600,0,1
2280,0,1
420,0,1
10680,0,1
3220,0,1
9000,0,1
7800,0,1
8940,0,1
20460,0,1
9000,0,1
12300,0,1
24000,0,1
60,0,1
1740,0,1
60,0,1
2520,0,1
2280,0,1
16980,0,1
1380,0,1
16620,0,1
7380,0,1
3600,0,1
11580,0,1
11520,0,1
5460,0,1
780,0,1
840,0,1
32580,0,1
15180,0,1
600,0,1
10860,0,1
5340,0,1
5400,0,1
5400,0,1
10800,0,1
300,0,1
300,0,1
300,0,1
37200,0,1
38400,0,1
7200,0,1
300,0,1
17100,0,1
58740,0,1
6720,0,1
2580,0,1
16800,0,1
61860,0,1
38040,0,1
25200,0,1
60,0,1
58740,0,1
7200,0,1
24180,0,1
22620,0,1
4800,0,1
480,0,1
10200,0,1
900,0,1
4020,0,1
5700,0,1
5400,0,1
17100,0,1
1260,0,1
13380,0,1
4260,0,1
180,0,1
6060,0,1
21600,0,1
360,0,1
3720,0,1
13860,0,1
11280,0,1
4020,0,1
2460,0,1
14640,0,1
600,0,1
600,0,1
600,0,1
600,0,1
21180,0,1
11740,0,1
33720,0,1
11220,0,1
10860,0,1
46380,0,1
2220,0,1
22800,0,1
4500,0,1
6300,0,1
5400,0,1
26400,0,1
13500,0,1
29200,0,1
16500,0,1
35700,0,1
3840,0,1
180,0,1
4800,0,1
7980,0,1
3600,0,1
2100,0,1
13860,0,1
9840,0,1
13980,0,1
12120,0,1
6660,0,1
17040,0,1
15240,0,1
960,0,1
600,0,1
4500,0,1
5400,0,1
5400,0,1
300,0,1
300,0,1
39840,0,1
2640,0,1
19200,0,1
5400,0,1
9000,0,1
110700,0,1
43200,0,1
27900,0,1
10800,0,1
27060,0,1
35280,0,1
27720,0,1
84540,0,1
19200,0,1
660,0,1
20640,0,1
23700,0,1
14100,0,1
26940,0,1
61320,0,1
21900,0,1
26700,0,1
44220,0,1
9000,0,1
175080,0,1
2968,0,1
134497,0,1
3955,0,1
23962,0,1
3038,0,1
0,0,1
0,0,1
146400,0,1
1260,0,1
2160,0,1
136440,0,1
2940,0,1
1440,0,1
8160,0,1
0,0,1
178,0,1
17286,0,1
12000,0,1
35936,0,1
35225,0,1
5577,0,1
5795,0,1
3524,0,1
616,0,1
2535,0,1
4217,0,1
2331,0,1
360,0,1
4560,0,1
10068,0,1
18852,0,1
6240,0,1
15000,0,1
5640,0,1
37860,0,1
13500,0,1
0,0,1
0,0,1
0,0,1
0,0,1
2880,0,1
1980,0,1
3840,0,1
37860,0,1
0,0,1
31620,0,1
50115,0,1
5373,0,1
29532,0,1
2280,0,1
17792,0,1
7847,0,1
7935,0,1
25312,0,1
5554,0,1
5880,0,1
1500,0,1
77280,0,1
8880,0,1
24240,0,1
100380,0,1
29220,0,1
133931,0,1
21827,0,1
77042,0,1
5880,0,1
12120,0,1
1215,0,1
42945,0,1
13151,0,1
18169,0,1
18122,0,1
61558,0,1
88200,0,1
3288,0,1
12612,0,1
24540,0,1
100260,0,1
66600,0,1
22500,0,1
127895,0,1
82105,0,1
61798,0,1
49089,0,1
55313,0,1
17040,0,1
8160,0,1
4680,0,1
600,0,1
12664,0,1
152156,0,1
66600,0,1
19800,0,1
4800,0,1
40200,0,1
1800,0,1
100800,0,1
295080,0,1
36840,0,1
86468,0,1
10612,0,1
24554,0,1
86446,0,1
160500,0,1
37200,0,1
13500,0,1
11466,0,1
126578,0,1
23956,0,1
22020,0,1
28380,0,1
4523,0,1
72277,0,1
29700,0,1
281,0,1
299419,0,1
74580,0,1
6240,0,1
10680,0,1
37800,0,1
32400,0,1
14400,0,1
8400,0,1
7868,0,1
1880,0,1
2525,0,1
685,0,1
1825,0,1
21817,0,1
34200,0,1
25200,0,1
25985,0,1
80815,0,1
48264,0,1
1891,0,1
29,0,1
932,0,1
1785,0,1
141499,0,1
0,0,1
1800,0,1
91800,0,1
22500,0,1
120,0,1
42180,0,1
80700,0,1
0,0,1
5316,0,1
344,0,1
918,0,1
2993,0,1
24458,0,1
754,0,1
2294,0,1
11823,0,1
15780,0,1
18420,0,1
5400,0,1
3600,0,1
3600,0,1
7020,0,1
1080,0,1
2700,0,1
31523,0,1
395,0,1
20582,0,1
5400,0,1
29100,0,1
21900,0,1
22800,0,1
600,0,1
7200,0,1
59400,0,1
40800,0,1
3600,0,1
1500,0,1
7500,0,1
17840,0,1
5408,0,1
7352,0,1
13800,0,1
1200,0,1
37884,0,1
4755,0,1
3185,0,1
2758,0,1
30078,0,1
37440,0,1
17100,0,1
4649,0,1
2734,0,1
9297,0,1
110700,0,1
46620,0,1
20640,0,1
97804,0,1
47523,0,1
585,0,1
32412,0,1
22524,0,1
5897,0,1
6841,0,1
23474,0,1
5400,0,1
9000,0,1
38460,0,1
13568,0,1
7365,0,1
4987,0,1
1320,0,1
10200,0,1
6300,0,1
16941,0,1
6459,0,1
4500,0,1
9180,0,1
38860,0,1
281,0,1
760,0,1
5726,0,1
6979,0,1
1211,0,1
10956,0,1
4954,0,1
5337,0,1
315,0,1
25841,0,1
6391,0,1
29,0,1
3128,0,1
2868,0,1
9664,0,1
4920,0,1
32475,0,1
3580,0,1
27905,0,1
1646,0,1
2201,0,1
17265,0,1
4191,0,1
6368,0,1
4269,0,1
39300,0,1
8880,0,1
60,0,1
120,0,1
1440,0,1
47940,0,1
18660,0,1
7200,0,1
7200,0,1
3660,0,1
720,0,1
2820,0,1
9179,0,1
3708,0,1
9160,0,1
8013,0,1
7740,0,1
29160,0,1
13140,0,1
43827,0,1
74019,0,1
10854,0,1
46920,0,1
44340,0,1
55170,0,1
38216,0,1
25614,0,1
24618,0,1
4200,0,1
37948,0,1
18976,0,1
13462,0,1
19614,0,1
3600,0,1
61200,0,1
1800,0,1
71700,0,1
23772,0,1
1149,0,1
29379,0,1
22500,0,1
7200,0,1
11820,0,1
3480,0,1
48466,0,1
29834,0,1
24675,0,1
5712,0,1
93813,0,1
22800,0,1
6000,0,1
12000,0,1
5633,0,1
112927,0,1
29085,0,1
92406,0,1
155991,0,1
1560,0,1
4320,0,1
106140,0,1
4080,0,1
8880,0,1
360,0,1
34651,0,1
12767,0,1
6900,0,1
7500,0,1
11820,0,1
8984,0,1
14400,0,1
29056,0,1
9601,0,1
3860,0,1
75819,0,1
0,0,1
16648,0,1
5074,0,1
6058,0,1
3600,0,1
89175,0,1
1990,0,1
65066,0,1
49869,0,1
10800,0,1
32400,0,1
7200,0,1
24098,0,1
45808,0,1
2994,0,1
67858,0,1
41342,0,1
540,0,1
90360,0,1
28800,0,1
10716,0,1
10884,0,1
25236,0,1
656,0,1
19842,0,1
3260,0,1
7106,0,1
62700,0,1
34140,0,1
72360,0,1
40500,0,1
22500,0,1
13125,0,1
3210,0,1
54045,0,1
48480,0,1
172440,0,1
12000,0,1
2400,0,1
600,0,1
11400,0,1
3480,0,1
360,0,1
35040,0,1
8555,0,1
56641,0,1
2400,0,1
3360,0,1
4200,0,1
6600,0,1
9564,0,1
25200,0,1
10800,0,1
34080,0,1
18900,0,1
6951,0,1
36909,0,1
53432,0,1
2971,0,1
38457,0,1
41760,0,1
38512,0,1
44288,0,1
3600,0,1
37800,0,1
2940,0,1
7860,0,1
4800,0,1
3300,0,1
120,0,1
2580,0,1
57600,0,1
32400,0,1
27180,0,1
21120,0,1
15600,0,1
46800,0,1
35494,0,1
144389,0,1
46917,0,1
39720,0,1
85118,0,1
28462,0,1
10800,0,1
298832,0,1
10818,0,1
15581,0,1
5936,0,1
40773,0,1
76860,0,1
37200,0,1
4200,0,1
175080,0,1
25020,0,1
163680,0,1
600,0,1
840,0,1
81180,0,1
11890,0,1
1026,0,1
1244,0,1
2040,0,1
52200,0,1
106760,0,1
63660,0,1
2160,0,1
115920,0,1
19560,0,1
192600,0,1
1186,0,1
45614,0,1
8848,0,1
32792,0,1
40797,0,1
62,0,1
37381,0,1
40320,0,1
90600,0,1
39110,0,1
53890,0,1
39000,0,1
15000,0,1
28800,0,1
35520,0,1
14400,0,1
52048,0,1
138752,0,1
84600,0,1
119700,0,1
74880,0,1
0,0,1
7200,0,1
52200,0,1
84600,0,1
5400,0,1
5400,0,1
7200,0,1
86400,0,1
21600,0,1
1800,0,1
0,0,1
3600,0,1
3600,0,1
14400,0,1
68400,0,1
30600,0,1
7200,0,1
3600,0,1
37800,0,1
12300,0,1
2100,0,1
7200,0,1
5400,0,1
30600,0,1
600,0,1
3000,0,1
720,0,1
2880,0,1
1080,0,1
66120,0,1
0,0,1
36000,0,1
75600,0,1
7200,0,1
15300,0,1
900,0,1
3600,0,1
0,0,1
1800,0,1
88200,0,1
3600,0,1
1800,0,1
3600,0,1
1800,0,1
30600,0,1
7339,0,1
7061,0,1
3600,0,1
75600,0,1
0,0,1
3032,0,1
783,0,1
982,0,1
464,0,1
1714,0,1
6960,0,1
165720,0,1
45000,0,1
21600,0,1
1800,0,1
3600,0,1
0,0,1
0,0,1
61320,0,1
6120,0,1
26160,0,1
0,0,1
7200,0,1
35400,0,1
960,0,1
1140,0,1
3180,0,1
31300,0,1
9020,0,1
154700,0,1
124080,0,1
1500,0,1
8220,0,1
26486,0,1
4546,0,1
258,0,1
3959,0,1
3196,0,1
4405,0,1
73594,0,1
3808,0,1
4678,0,1
398,0,1
9962,0,1
2255,0,1
1800,0,1
4495,0,1
2551,0,1
48609,0,1
38001,0,1
6322,0,1
2070,0,1
147320,0,1
2688,0,1
210,0,1
2440,0,1
1294,0,1
102,0,1
2100,0,1
3600,0,1
10694,0,1
2411,0,1
2296,0,1
3815,0,1
14286,0,1
1311,0,1
2520,0,1
128894,0,1
15946,0,1
23455,0,1
636,0,1
901,0,1
6939,0,1
1155,0,1
67008,0,1
347,0,1
2408,0,1
7475,0,1
37199,0,1
19942,0,1
21738,0,1
16057,0,1
26328,0,1
35593,0,1
15710,0,1
10634,0,1
83343,0,1
11164,0,1
19763,0,1
119272,0,1
31234,0,1
54559,0,1
7417,0,1
3273,0,1
20762,0,1
9690,0,1
6514,0,1
6853,0,1
152344,0,1
57888,0,1
2642,0,1
7440,0,1
280,0,1
4188,0,1
416,0,1
15417,0,1
7662,0,1
2266,0,1
1333,0,1
20553,0,1
24491,0,1
36034,0,1
8059,0,1
21232,0,1
58462,0,1
5078,0,1
125221,0,1
129023,0,1
52957,0,1
1942,0,1
36013,0,1
63960,0,1
1090,0,1
36459,0,1
63001,0,1
33804,0,1
179232,0,1
54496,0,1
70568,0,1
16906,0,1
111502,0,1
157275,0,1
14700,0,1
3528,0,1
150932,0,1
75460,0,1
277380,0,1
58560,0,1
148020,0,1
1320,0,1
6975,0,1
8967,0,1
456,0,1
60,0,1
0,0,1
1752,0,1
32640,0,1
46924,0,1
1088,0,1
32060,0,1
12,0,1
3488,0,1
2828,0,1
0,0,1
336,0,1
30332,0,1
5216,0,1
1472,0,1
1168,0,1
3648,0,1
44424,0,1
3424,0,1
47275,0,1
5805,0,1
6720,0,1
55664,0,1
13088,0,1
7328,0,0
