"time","fault","indicator"
5400,0,1
81060,0,1
2100,0,1
13620,0,1
22800,0,1
13380,0,1
4620,0,1
5100,0,1
26640,0,1
45960,0,1
5100,0,1
28800,0,1
58620,0,1
1920,0,1
99540,0,1
60000,0,1
3000,0,1
34500,0,1
52500,0,1
2280,0,1
32100,0,1
167940,0,1
42840,0,1
145920,0,1
43380,0,1
43380,0,1
26820,0,1
286500,0,1
27000,0,1
44400,0,1
110220,0,1
269100,0,1
60840,0,1
85800,0,1
98820,0,1
61260,0,1
156300,0,1
52740,0,1
54960,0,1
32100,0,1
129660,0,1
116760,0,1
75000,0,1
37260,0,1
24180,0,1
146640,0,1
35760,0,1
16080,0,1
900,0,1
10320,0,1
2280,0,1
28800,0,1
75960,0,1
52140,0,1
28920,0,1
52920,0,1
240,0,1
600,0,1
13080,0,1
58980,0,1
1140,0,1
62160,0,1
34620,0,1
118140,0,1
262980,0,1
47400,0,1
1320,0,1
41880,0,1
39300,0,1
115860,0,1
66960,0,1
178740,0,1
2340,0,1
6780,0,1
780,0,1
42840,0,1
55500,0,1
890340,0,1
1620,0,1
73560,0,1
284407,0,1
85140,0,1
177360,0,1
45360,0,1
44400,0,1
270472,0,1
172140,0,1
960,0,1
23700,0,1
190020,0,1
55260,0,1
48660,0,1
264900,0,1
1080,0,1
86700,0,1
60,0,1
1,0,1
337920,0,1
31320,0,1
245760,0,1
36480,0,1
187260,0,1
28980,0,1
120,0,1
119340,0,1
1740,0,1
840,0,1
1500,0,1
1200,0,1
2820,0,1
51960,0,1
8940,0,1
1800,0,1
1680,0,1
7980,0,1
420,0,1
11460,0,1
25440,0,1
99360,0,1
45360,0,1
62040,0,1
24360,0,1
3420,0,1
2220,0,1
41460,0,1
128040,0,1
134340,0,1
16800,0,1
5760,0,1
41760,0,1
540,0,1
540,0,1
600,0,1
420,0,1
540,0,1
305040,0,1
102480,0,1
60840,0,1
86880,0,1
130980,0,1
172140,0,1
144660,0,1
12180,0,1
66960,0,1
155820,0,1
5100,0,1
242820,0,1
33840,0,1
34140,0,1
479968,0,1
31260,0,1
23520,0,1
57720,0,1
454200,0,1
36060,0,1
3780,0,1
226440,0,1
73560,0,1
180,0,1
20760,0,1
10340,0,1
45660,0,1
117720,0,1
10860,0,1
71280,0,1
83460,0,1
79560,0,1
319260,0,1
219328,0,1
38940,0,1
19200,0,1
6900,0,1
101280,0,1
174180,0,1
80040,0,1
188280,0,1
2880,0,1
43260,0,1
494640,0,1
38700,0,1
53520,0,1
100560,0,1
207840,0,1
810840,0,1
48720,0,1
130920,0,1
280260,0,1
23160,0,1
25020,0,1
501060,0,1
175476,0,1
659392,0,1
790440,0,1
107400,0,1
625140,0,1
507300,0,1
1016040,0,1
1080,0,1
30540,0,1
56160,0,1
224520,0,1
12120,0,1
13080,0,1
142140,0,1
510780,0,1
181500,0,1
131580,0,1
6180,0,1
120,0,1
228900,0,1
4320,0,1
9300,0,1
75720,0,1
13080,0,1
118020,0,1
33900,0,1
29940,0,1
86400,0,1
118980,0,1
8400,0,1
33000,0,1
43020,0,1
118620,0,1
137940,0,1
287160,0,1
720,0,1
660,0,1
2460,0,1
2760,0,1
8880,0,1
420,0,1
840,0,1
480,0,1
87960,0,1
228360,0,1
100020,0,1
163260,0,1
66420,0,1
255840,0,1
13080,0,1
4740,0,1
1980,0,1
430800,0,1
12660,0,1
40020,0,1
16680,0,1
1080,0,1
2100,0,1
1020,0,1
13080,0,1
842220,0,1
805176,0,1
18780,0,1
47100,0,1
110520,0,1
840,0,1
266760,0,1
33480,0,1
38520,0,1
70800,0,1
119100,0,1
462600,0,1
17400,0,1
543060,0,1
191040,0,1
3720,0,1
103080,0,1
117360,0,1
63960,0,1
3960,0,1
442860,0,1
22260,0,1
241500,0,1
49920,0,1
144240,0,1
37260,0,1
122580,0,1
123360,0,0
