"time","fault","indicator"
242460,0,1
6300,0,1
253680,0,1
24120,0,1
37620,0,1
928380,0,1
534180,0,1
191700,0,1
11760,0,1
159240,0,1
19140,0,1
595980,0,1
476220,0,1
58980,0,1
5820,0,1
100620,0,1
6300,0,1
328140,0,1
4560,0,1
6780,0,1
69420,0,1
579120,0,1
577080,0,1
631920,0,1
120,0,1
148200,0,1
928140,0,1
43860,0,1
3600,0,1
300,0,1
660627,0,1
167880,0,1
186840,0,1
279044,0,1
420120,0,1
67800,0,1
323460,0,1
112020,0,1
5280,0,1
634261,0,1
1920,0,1
902340,0,1
2100,0,1
4200,0,1
480,0,1
177060,0,1
42360,0,1
37020,0,1
54540,0,1
335520,0,1
300,0,1
152040,0,1
111360,0,1
491760,0,1
80340,0,1
318060,0,1
3120,0,1
5400,0,1
184740,0,1
15420,0,1
100860,0,1
235136,0,1
1620,0,1
621660,0,1
560228,0,1
504420,0,1
6780,0,1
245820,0,1
482288,0,1
429660,0,1
995536,0,1
75120,0,1
460020,0,1
32160,0,1
202500,0,1
317820,0,1
265260,0,1
36180,0,1
174180,0,1
19740,0,1
8400,0,1
40260,0,1
2940,0,1
8700,0,1
7080,0,1
64020,0,1
360,0,1
84840,0,1
180,0,1
908340,0,1
7680,0,1
58860,0,1
22560,0,1
8280,0,1
569096,0,1
69660,0,1
293880,0,1
6900,0,1
259260,0,1
3780,0,1
311776,0,1
111036,0,1
413940,0,1
271620,0,1
64560,0,1
299400,0,1
32880,0,1
957960,0,1
597780,0,1
60,0,1
113340,0,1
466980,0,1
511200,0,1
276000,0,1
185160,0,1
323940,0,1
318420,0,1
777960,0,1
4200,0,1
573140,0,1
2220,0,1
1237800,0,1
222960,0,1
108300,0,1
58980,0,1
20100,0,1
82320,0,1
362160,0,1
600,0,1
9000,0,1
1245660,0,1
16800,0,1
1001040,0,1
148,0,1
116,0,1
240,0,1
480,0,1
840,0,1
419340,0,1
120,0,1
60060,0,1
86880,0,1
6180,0,1
180,0,1
98100,0,1
3300,0,1
342240,0,1
1111320,0,1
8400,0,1
91680,0,1
621780,0,1
875700,0,1
634620,0,1
420,0,1
379380,0,1
18000,0,1
62100,0,1
8820,0,1
503580,0,1
275820,0,1
348180,0,1
5100,0,1
477900,0,1
636420,0,1
575340,0,1
222360,0,1
86580,0,1
2760,0,1
2820,0,1
1560,0,1
420,0,1
1200,0,1
1440,0,1
107040,0,1
31440,0,1
304260,0,1
59100,0,1
267960,0,1
21720,0,1
68760,0,1
262380,0,1
4560,0,1
331020,0,1
1722300,0,1
47520,0,1
301170,0,1
1020,0,1
168000,0,1
113310,0,1
1613550,0,1
92190,0,1
446340,0,1
65250,0,1
1900620,0,1
420060,0,1
245280,0,1
1347540,0,0
