"time","fault","indicator"
320,0,1
14390,0,1
9000,0,1
2880,0,1
5700,0,1
21800,0,1
26800,0,1
113540,0,1
112137,0,1
660,0,1
2700,0,1
28793,0,1
2173,0,1
7263,0,1
10865,0,1
4230,0,1
8460,0,1
14805,0,1
11844,0,1
5361,0,1
6553,0,1
6499,0,1
3124,0,1
51323,0,1
17010,0,1
1890,0,1
5400,0,1
62312,0,1
24826,0,1
26335,0,1
363,0,1
13989,0,1
15058,0,1
32377,0,1
41632,0,1
4160,0,1
82040,0,1
13189,0,1
3426,0,1
5833,0,1
640,0,1
640,0,1
2880,0,1
110,0,1
22080,0,1
60654,0,1
52163,0,1
12546,0,1
784,0,1
10193,0,1
7841,0,1
31365,0,1
24313,0,1
298890,0,1
1280,0,1
22099,0,1
19150,0,1
2611,0,1
39170,0,1
55794,0,1
42632,0,1
267600,0,1
87074,0,1
149606,0,1
14400,0,1
34560,0,1
39600,0,1
334395,0,1
296015,0,1
177399,0,1
214622,0,1
156400,0,1
166800,0,1
10800,0,1
267000,0,1
2098833,0,1
614080,0,1
7680,0,1
2629667,0,1
2948700,0,1
187200,0,1
18000,0,1
178200,0,1
487800,0,1
639200,0,1
334560,0,1
1468800,0,1
86720,0,1
199200,0,1
215200,0,1
86400,0,1
88640,0,1
1814400,0,1
4160,0,1
3200,0,1
199200,0,1
356160,0,1
518400,0,1
345600,0,1
31360,0,1
265600,0,1
1388800,0,0
